Full sealed-sector lists (best variant = A and B, identical).
  (23,23) type=1 normal           Item=  -1 addl=0
  (24,23) type=1 normal           Item=  -1 addl=0
  (26,23) type=1 normal           Item=  -1 addl=0
  (27,23) type=1 normal           Item=  -1 addl=0
  ( 1,24) type=1 normal           Item= 248 addl=0
  ( 2,24) type=1 normal           Item=  -1 addl=0
  ( 3,24) type=1 normal           Item=   2 addl=0
  ( 4,24) type=1 normal           Item=   4 addl=0
  ( 6,24) type=1 normal           Item=  -1 addl=0
  ( 7,24) type=1 normal           Item=  -1 addl=0
  ( 8,24) type=1 normal           Item= 249 addl=0
  ( 9,24) type=1 normal           Item=  -1 addl=0
  (10,24) type=1 normal           Item= 250 addl=0
  (11,24) type=1 normal           Item= 251 addl=0
  (12,24) type=1 normal           Item=  -1 addl=0
  (13,24) type=1 normal           Item=  -1 addl=0
  (14,24) type=1 normal           Item=  -1 addl=0
  (15,24) type=1 normal           Item=  -1 addl=0
  (17,24) type=1 normal           Item= 252 addl=0
  (18,24) type=1 normal           Item= 253 addl=0
  (23,24) type=1 normal           Item=  -1 addl=0
  (24,24) type=1 normal           Item= 254 addl=0
  (26,24) type=1 normal           Item= 255 addl=0
  (27,24) type=1 normal           Item= 256 addl=0
  ( 1,25) type=1 normal           Item= 257 addl=0
  ( 2,25) type=1 normal           Item= 258 addl=0
  ( 6,25) type=1 normal           Item= 375 addl=0
  ( 7,25) type=1 normal           Item=  -1 addl=0
  (14,25) type=1 normal           Item= 259 addl=0
  (15,25) type=1 normal           Item= 260 addl=0
  (17,25) type=1 normal           Item= 261 addl=0
  (18,25) type=1 normal           Item= 262 addl=0
  (19,25) type=1 normal           Item= 263 addl=0
  (20,25) type=1 normal           Item=  -1 addl=0
  (23,25) type=1 normal           Item=  -1 addl=0
  (24,25) type=1 normal           Item= 264 addl=0
  (26,25) type=1 normal           Item=  -1 addl=0
  (27,25) type=1 normal           Item= 265 addl=0
  (28,25) type=1 normal           Item=  -1 addl=0
  (29,25) type=1 normal           Item=  -1 addl=0
  (30,25) type=1 normal           Item= 266 addl=0
  ( 1,26) type=1 normal           Item= 267 addl=0
  ( 2,26) type=1 normal           Item= 268 addl=0
  ( 6,26) type=1 normal           Item= 237 addl=0
  ( 7,26) type=1 normal           Item= 269 addl=0
  (11,26) type=1 normal           Item= 286 addl=0
  (12,26) type=1 normal           Item= 271 addl=0
  (14,26) type=1 normal           Item=  -1 addl=0
  (15,26) type=1 normal           Item= 272 addl=0
  (17,26) type=1 normal           Item= 273 addl=0
  (18,26) type=1 normal           Item=  -1 addl=0
  (19,26) type=1 normal           Item= 274 addl=0
  (20,26) type=1 normal           Item= 275 addl=0
  (23,26) type=1 normal           Item= 276 addl=0
  (24,26) type=1 normal           Item=  -1 addl=0
  (26,26) type=1 normal           Item=  -1 addl=0
  (27,26) type=1 normal           Item=  -1 addl=0
  (28,26) type=1 normal           Item=  -1 addl=0
  (29,26) type=1 normal           Item= 277 addl=0
  (30,26) type=1 normal           Item= 278 addl=0
  ( 1,27) type=1 normal           Item= 279 addl=0
  ( 2,27) type=1 normal           Item= 280 addl=0
  ( 3,27) type=1 normal           Item= 281 addl=0
  ( 4,27) type=1 normal           Item= 282 addl=0
  ( 5,27) type=1 normal           Item= 283 addl=0
  ( 6,27) type=1 normal           Item= 284 addl=0
  ( 7,27) type=1 normal           Item=  -1 addl=0
  (11,27) type=1 normal           Item= 334 addl=0
  (12,27) type=1 normal           Item= 333 addl=0
  (14,27) type=1 normal           Item= 287 addl=0
  (15,27) type=1 normal           Item= 288 addl=0
  (19,27) type=1 normal           Item=  -1 addl=0
  (20,27) type=1 normal           Item= 289 addl=0
  (23,27) type=1 normal           Item= 290 addl=0
  (24,27) type=1 normal           Item= 291 addl=0
  (29,27) type=1 normal           Item= 292 addl=0
  (30,27) type=1 normal           Item= 293 addl=0
  ( 2,28) type=1 normal           Item=  -1 addl=0
  ( 3,28) type=1 normal           Item=  -1 addl=0
  ( 4,28) type=1 normal           Item=  -1 addl=0
  ( 5,28) type=1 normal           Item=  -1 addl=0
  ( 6,28) type=1 normal           Item= 294 addl=0
  ( 7,28) type=1 normal           Item=  -1 addl=0
  (11,28) type=1 normal           Item= 295 addl=0
  (12,28) type=1 normal           Item= 296 addl=0
  (14,28) type=1 normal           Item=  -1 addl=0
  (15,28) type=1 normal           Item=  -1 addl=0
  (19,28) type=1 normal           Item= 297 addl=0
  (20,28) type=1 normal           Item= 298 addl=0
  (23,28) type=1 normal           Item=  -1 addl=0
  (24,28) type=1 normal           Item=  -1 addl=0
  (29,28) type=1 normal           Item= 299 addl=0
  (30,28) type=1 normal           Item= 300 addl=0
  ( 6,29) type=1 normal           Item=  -1 addl=0
  ( 7,29) type=1 normal           Item= 301 addl=0
  ( 8,29) type=1 normal           Item= 302 addl=0
  ( 9,29) type=1 normal           Item= 303 addl=0
  (10,29) type=1 normal           Item=   5 addl=0
  (11,29) type=1 normal           Item=  -1 addl=0
  (12,29) type=1 normal           Item= 305 addl=0
  (14,29) type=1 normal           Item=  -1 addl=0
  (15,29) type=1 normal           Item=  -1 addl=0
  (16,29) type=1 normal           Item=  -1 addl=0
  (17,29) type=1 normal           Item= 306 addl=0
  (18,29) type=1 normal           Item=  -1 addl=0
  (19,29) type=1 normal           Item= 307 addl=0
  (20,29) type=1 normal           Item= 308 addl=0
  (21,29) type=1 normal           Item= 309 addl=0
  (22,29) type=1 normal           Item=  -1 addl=0
  (23,29) type=1 normal           Item= 310 addl=0
  (24,29) type=1 normal           Item=  -1 addl=0
  (25,29) type=1 normal           Item= 311 addl=0
  (26,29) type=1 normal           Item=  -1 addl=0
  (27,29) type=1 normal           Item= 312 addl=0
  (28,29) type=1 normal           Item= 313 addl=0
  (29,29) type=1 normal           Item= 314 addl=0
  (30,29) type=1 normal           Item=  -1 addl=0
  ( 7,30) type=1 normal           Item=  -1 addl=0
  ( 8,30) type=1 normal           Item= 317 addl=0
  ( 9,30) type=1 normal           Item= 318 addl=0
  (10,30) type=1 normal           Item= 319 addl=0
  (11,30) type=1 normal           Item=  -1 addl=0
  (12,30) type=1 normal           Item= 320 addl=0
  (14,30) type=1 normal           Item=  -1 addl=0
  (15,30) type=1 normal           Item= 321 addl=0
  (16,30) type=1 normal           Item=  -1 addl=0
  (17,30) type=1 normal           Item= 322 addl=0
  (18,30) type=1 normal           Item= 323 addl=0
  (19,30) type=1 normal           Item= 324 addl=0
  (20,30) type=1 normal           Item= 325 addl=0
  (21,30) type=1 normal           Item= 326 addl=0
  (22,30) type=1 normal           Item= 327 addl=0
  (23,30) type=1 normal           Item= 328 addl=0
  (24,30) type=1 normal           Item=  -1 addl=0
  (25,30) type=1 normal           Item=  -1 addl=0
  (26,30) type=1 normal           Item= 329 addl=0
  (27,30) type=1 normal           Item=  -1 addl=0
  (28,30) type=1 normal           Item= 330 addl=0
  (29,30) type=1 normal           Item= 331 addl=0
  (30,30) type=1 normal           Item= 332 addl=0

=== L11 A Plague of Demons  sealed=527 ===
  ( 4, 1) type=1 normal           Item=   3 addl=0
  ( 5, 1) type=1 normal           Item=   4 addl=0
  ( 6, 1) type=1 normal           Item= 367 addl=0
  ( 7, 1) type=1 normal           Item=  -1 addl=0
  ( 8, 1) type=1 normal           Item=   5 addl=0
  ( 9, 1) type=1 normal           Item=   6 addl=0
  (10, 1) type=1 normal           Item=  -1 addl=0
  (11, 1) type=1 normal           Item= 368 addl=0
  (12, 1) type=1 normal           Item= 369 addl=0
  (13, 1) type=1 normal           Item=   8 addl=0
  (14, 1) type=1 normal           Item=   9 addl=0
  (15, 1) type=1 normal           Item=  10 addl=0
  (16, 1) type=1 normal           Item=  -1 addl=0
  (17, 1) type=1 normal           Item=  11 addl=0
  (18, 1) type=1 normal           Item=  12 addl=0
  (19, 1) type=1 normal           Item=  -1 addl=0
  (20, 1) type=1 normal           Item=  13 addl=0
  (21, 1) type=1 normal           Item=  14 addl=0
  (22, 1) type=1 normal           Item=  15 addl=0
  (23, 1) type=1 normal           Item=  -1 addl=0
  (24, 1) type=1 normal           Item=  -1 addl=0
  (25, 1) type=1 normal           Item=  -1 addl=0
  (26, 1) type=1 normal           Item=  -1 addl=0
  (28, 1) type=1 normal           Item= 361 addl=0
  (30, 1) type=1 normal           Item=  17 addl=0
  ( 1, 2) type=1 normal           Item=  18 addl=0
  ( 2, 2) type=1 normal           Item=  19 addl=0
  ( 3, 2) type=1 normal           Item=  -1 addl=0
  ( 4, 2) type=1 normal           Item=  21 addl=0
  ( 6, 2) type=1 normal           Item=  22 addl=0
  (11, 2) type=1 normal           Item=  -1 addl=0
  (26, 2) type=4 door_trigger     Item= 370 addl=129
  (27, 2) type=2 door             Item=  -1 addl=4
  ( 1, 3) type=1 normal           Item=  24 addl=0
  ( 6, 3) type=1 normal           Item=  25 addl=0
  ( 8, 3) type=1 normal           Item=  -1 addl=0
  ( 9, 3) type=1 normal           Item= 364 addl=0
  (11, 3) type=1 normal           Item=  27 addl=0
  (13, 3) type=1 normal           Item=  28 addl=0
  (14, 3) type=1 normal           Item=  29 addl=0
  (15, 3) type=1 normal           Item=  -1 addl=0
  (16, 3) type=1 normal           Item=  -1 addl=0
  (17, 3) type=1 normal           Item=  -1 addl=0
  (18, 3) type=1 normal           Item=  -1 addl=0
  (19, 3) type=1 normal           Item=  30 addl=0
  (20, 3) type=1 normal           Item=  31 addl=0
  (21, 3) type=1 normal           Item=  -1 addl=0
  (22, 3) type=1 normal           Item=  -1 addl=0
  (23, 3) type=1 normal           Item=  -1 addl=0
  (25, 3) type=1 normal           Item=  -1 addl=0
  (26, 3) type=1 normal           Item=  32 addl=0
  (28, 3) type=1 normal           Item= 363 addl=0
  (30, 3) type=1 normal           Item= 362 addl=0
  ( 1, 4) type=1 normal           Item=  35 addl=0
  ( 3, 4) type=1 normal           Item=  36 addl=0
  ( 4, 4) type=1 normal           Item=  37 addl=0
  ( 5, 4) type=1 normal           Item=  38 addl=0
  ( 6, 4) type=1 normal           Item= 366 addl=0
  ( 8, 4) type=1 normal           Item=  39 addl=0
  (11, 4) type=1 normal           Item=  40 addl=0
  (13, 4) type=1 normal           Item=  -1 addl=0
  (14, 4) type=1 normal           Item=  -1 addl=0
  (15, 4) type=1 normal           Item=  42 addl=0
  (16, 4) type=1 normal           Item=  43 addl=0
  (17, 4) type=1 normal           Item= 319 addl=0
  (18, 4) type=1 normal           Item=  -1 addl=0
  (19, 4) type=1 normal           Item=  -1 addl=0
  (20, 4) type=1 normal           Item=  -1 addl=0
  (21, 4) type=1 normal           Item=  -1 addl=0
  (22, 4) type=1 normal           Item=  -1 addl=0
  (23, 4) type=1 normal           Item= 323 addl=0
  (26, 4) type=1 normal           Item=  45 addl=0
  ( 1, 5) type=1 normal           Item=  46 addl=0
  ( 2, 5) type=1 normal           Item=  -1 addl=0
  ( 3, 5) type=1 normal           Item= 365 addl=0
  ( 6, 5) type=1 normal           Item=  -1 addl=0
  ( 7, 5) type=1 normal           Item=  -1 addl=0
  ( 8, 5) type=1 normal           Item=  48 addl=0
  ( 9, 5) type=1 normal           Item=  49 addl=0
  (10, 5) type=1 normal           Item=  -1 addl=0
  (11, 5) type=1 normal           Item=  50 addl=0
  (13, 5) type=1 normal           Item=  -1 addl=0
  (14, 5) type=1 normal           Item=  51 addl=0
  (20, 5) type=1 normal           Item=  52 addl=0
  (21, 5) type=1 normal           Item=  53 addl=0
  (25, 5) type=1 normal           Item=  -1 addl=0
  (26, 5) type=1 normal           Item=  -1 addl=0
  (28, 5) type=1 normal           Item=  -1 addl=0
  (29, 5) type=4 door_trigger     Item=  -1 addl=129
  (30, 5) type=1 normal           Item=  -1 addl=0
  ( 1, 6) type=1 normal           Item=  -1 addl=0
  ( 3, 6) type=1 normal           Item=  -1 addl=0
  ( 8, 6) type=1 normal           Item=  54 addl=0
  (13, 6) type=1 normal           Item=  -1 addl=0
  (14, 6) type=1 normal           Item=  55 addl=0
  (16, 6) type=1 normal           Item=  56 addl=0
  (17, 6) type=1 normal           Item= 126 addl=0
  (20, 6) type=1 normal           Item=  57 addl=0
  (21, 6) type=1 normal           Item=  58 addl=0
  (28, 6) type=1 normal           Item=  -1 addl=0
  (29, 6) type=1 normal           Item=  59 addl=0
  (30, 6) type=1 normal           Item=  -1 addl=0
  ( 1, 7) type=1 normal           Item=  60 addl=0
  ( 2, 7) type=1 normal           Item=  -1 addl=0
  ( 3, 7) type=1 normal           Item=  61 addl=0
  ( 5, 7) type=1 normal           Item=  62 addl=0
  ( 6, 7) type=1 normal           Item=  63 addl=0
  ( 8, 7) type=1 normal           Item=  64 addl=0
  (10, 7) type=1 normal           Item=  -1 addl=0
  (11, 7) type=1 normal           Item= 374 addl=0
  (13, 7) type=1 normal           Item=  67 addl=0
  (14, 7) type=1 normal           Item= 325 addl=0
  (16, 7) type=6 corpse           Item= 106 addl=18
  (17, 7) type=1 normal           Item=  -1 addl=0
  (20, 7) type=1 normal           Item=  69 addl=0
  (21, 7) type=1 normal           Item=  70 addl=0
  (22, 7) type=1 normal           Item=  -1 addl=0
  (23, 7) type=1 normal           Item=  -1 addl=0
  (24, 7) type=1 normal           Item=  71 addl=0
  (25, 7) type=1 normal           Item=  72 addl=0
  (28, 7) type=1 normal           Item=  73 addl=0
  (29, 7) type=1 normal           Item=  74 addl=0
  (30, 7) type=1 normal           Item=  75 addl=0
  ( 1, 8) type=1 normal           Item=  76 addl=0
  ( 5, 8) type=1 normal           Item= 332 addl=0
  ( 6, 8) type=1 normal           Item=  77 addl=0
  (10, 8) type=1 normal           Item= 335 addl=0
  (11, 8) type=1 normal           Item=  -1 addl=0
  (16, 8) type=1 normal           Item=  79 addl=0
  (17, 8) type=1 normal           Item=  80 addl=0
  (18, 8) type=1 normal           Item=  -1 addl=0
  (19, 8) type=1 normal           Item=  -1 addl=0
  (20, 8) type=1 normal           Item=  -1 addl=0
  (21, 8) type=1 normal           Item=  -1 addl=0
  (22, 8) type=1 normal           Item=  -1 addl=0
  (23, 8) type=1 normal           Item=  -1 addl=0
  (24, 8) type=1 normal           Item=  -1 addl=0
  (25, 8) type=1 normal           Item=  -1 addl=0
  (28, 8) type=1 normal           Item=  82 addl=0
  (29, 8) type=1 normal           Item=  83 addl=0
  (30, 8) type=1 normal           Item=  84 addl=0
  ( 3, 9) type=1 normal           Item=  85 addl=0
  ( 4, 9) type=1 normal           Item=  -1 addl=0
  ( 5, 9) type=1 normal           Item=  86 addl=0
  ( 6, 9) type=1 normal           Item=  87 addl=0
  ( 7, 9) type=1 normal           Item=  88 addl=0
  ( 8, 9) type=1 normal           Item=  -1 addl=0
  ( 9, 9) type=1 normal           Item=  -1 addl=0
  (10, 9) type=1 normal           Item=  90 addl=0
  (11, 9) type=1 normal           Item=  -1 addl=0
  (14, 9) type=1 normal           Item=  92 addl=0
  (16, 9) type=1 normal           Item=  -1 addl=0
  (17, 9) type=1 normal           Item=  93 addl=0
  (18, 9) type=1 normal           Item= 318 addl=0
  (19, 9) type=1 normal           Item=  94 addl=0
  (20, 9) type=1 normal           Item=  95 addl=0
  (21, 9) type=1 normal           Item=  96 addl=0
  (24, 9) type=1 normal           Item=  -1 addl=0
  (25, 9) type=1 normal           Item= 316 addl=0
  (28, 9) type=1 normal           Item=  -1 addl=0
  (29, 9) type=1 normal           Item=  99 addl=0
  (30, 9) type=1 normal           Item= 100 addl=0
  ( 3,10) type=1 normal           Item=  -1 addl=0
  ( 4,10) type=1 normal           Item= 101 addl=0
  ( 5,10) type=1 normal           Item= 102 addl=0
  ( 6,10) type=1 normal           Item=  -1 addl=0
  ( 7,10) type=1 normal           Item= 103 addl=0
  ( 8,10) type=1 normal           Item=  -1 addl=0
  ( 9,10) type=1 normal           Item= 105 addl=0
  (10,10) type=1 normal           Item=  89 addl=0
  (11,10) type=1 normal           Item= 107 addl=0
  (13,10) type=1 normal           Item= 328 addl=0
  (14,10) type=1 normal           Item= 109 addl=0
  (20,10) type=1 normal           Item=  81 addl=0
  (21,10) type=1 normal           Item=  -1 addl=0
  (24,10) type=1 normal           Item=  97 addl=0
  (25,10) type=1 normal           Item= 111 addl=0
  (29,10) type=1 normal           Item= 112 addl=0
  ( 1,11) type=1 normal           Item= 113 addl=0
  ( 2,11) type=1 normal           Item=  -1 addl=0
  ( 3,11) type=1 normal           Item=  -1 addl=0
  ( 4,11) type=1 normal           Item= 114 addl=0
  (13,11) type=1 normal           Item= 115 addl=0
  (14,11) type=1 normal           Item= 116 addl=0
  (20,11) type=1 normal           Item= 117 addl=0
  (21,11) type=1 normal           Item= 118 addl=0
  (27,11) type=1 normal           Item=  -1 addl=0
  (29,11) type=1 normal           Item=  -1 addl=0
  ( 1,12) type=1 normal           Item= 331 addl=0
